hand,action
AA,raise
AKs,raise
AQs,raise
AJs,raise
ATs,raise
A9s,raise
A8s,raise
A7s,raise
A6s,raise
A5s,raise
A4s,raise
A3s,raise
A2s,raise
AKo,raise
KK,raise
KQs,raise
KJs,raise
KTs,raise
K9s,raise
K8s,raise
K7s,raise
K6s,raise
K5s,raise
K4s,raise
K3s,raise
K2s,raise
AQo,raise
KQo,raise
QQ,raise
QJs,raise
QTs,raise
Q9s,raise
Q8s,raise
Q7s,raise
Q6s,raise
Q5s,raise
Q4s,raise
Q3s,raise
Q2s,raise
AJo,raise
KJo,raise
QJo,raise
JJ,raise
JTs,raise
J9s,raise
J8s,raise
J7s,raise
J6s,raise
J5s,fold
J4s,fold
J3s,fold
J2s,fold
ATo,raise
KTo,raise
QTo,raise
JTo,raise
TT,raise
T9s,raise
T8s,raise
T7s,raise
T6s,raise
T5s,fold
T4s,fold
T3s,fold
T2s,fold
A9o,raise
K9o,raise
Q9o,raise
J9o,raise
T9o,raise
99,raise
98s,raise
97s,raise
96s,raise
95s,fold
94s,fold
93s,fold
92s,fold
A8o,raise
K8o,raise
Q8o,raise
J8o,raise
T8o,raise
98o,raise
88,raise
87s,raise
86s,raise
85s,raise
84s,fold
83s,fold
82s,fold
A7o,raise
K7o,raise
Q7o,fold
J7o,fold
T7o,fold
97o,raise
87o,raise
77,raise
76s,raise
75s,raise
74s,raise
73s,fold
72s,fold
A6o,raise
K6o,fold
Q6o,fold
J6o,fold
T6o,fold
96o,fold
86o,fold
76o,raise
66,raise
65s,raise
64s,raise
63s,fold
62s,fold
A5o,raise
K5o,fold
Q5o,fold
J5o,fold
T5o,fold
95o,fold
85o,fold
75o,fold
65o,fold
55,raise
54s,raise
53s,raise
52s,fold
A4o,raise
K4o,fold
Q4o,fold
J4o,fold
T4o,fold
94o,fold
84o,fold
74o,fold
64o,fold
54o,fold
44,raise
43s,raise
42s,fold
A3o,raise
K3o,fold
Q3o,fold
J3o,fold
T3o,fold
93o,fold
83o,fold
73o,fold
63o,fold
53o,fold
43o,fold
33,raise
32s,raise
A2o,raise
K2o,fold
Q2o,fold
J2o,fold
T2o,fold
92o,fold
82o,fold
72o,fold
62o,fold
52o,fold
42o,fold
32o,fold
22,raise
size,2.5
