hand,action
AA,limp
AKs,raiseV
AQs,raiseV
AJs,raiseV
ATs,raiseV
A9s,limp
A8s,limp
A7s,limp
A6s,limp
A5s,limp
A4s,limp
A3s,limp
A2s,limp
AKo,limp
KK,limp
KQs,raiseV
KJs,raiseV
KTs,limp
K9s,limp
K8s,limp
K7s,limp
K6s,limp
K5s,limp
K4s,limp
K3s,limp
K2s,limp
AQo,raiseV
KQo,raiseV
QQ,raiseV
QJs,raiseV
QTs,limp
Q9s,limp
Q8s,limp
Q7s,limp
Q6s,limp
Q5s,limp
Q4s,limp
Q3s,limp
Q2s,limp
AJo,raiseV
KJo,raiseV
QJo,limp
JJ,raiseV
JTs,limp
J9s,limp
J8s,limp
J7s,limp
J6s,limp
J5s,limp
J4s,raiseB
J3s,raiseB
J2s,raiseB
ATo,raiseV
KTo,limp
QTo,limp
JTo,limp
TT,raiseV
T9s,limp
T8s,limp
T7s,limp
T6s,limp
T5s,raiseB
T4s,raiseB
T3s,fold
T2s,fold
A9o,limp
K9o,limp
Q9o,limp
J9o,limp
T9o,limp
99,raiseV
98s,limp
97s,limp
96s,limp
95s,raiseB
94s,raiseB
93s,fold
92s,fold
A8o,limp
K8o,limp
Q8o,limp
J8o,limp
T8o,limp
98o,limp
88,raiseV
87s,limp
86s,limp
85s,raiseB
84s,raiseB
83s,fold
82s,fold
A7o,limp
K7o,limp
Q7o,limp
J7o,limp
T7o,limp
97o,limp
87o,limp
77,limp
76s,limp
75s,limp
74s,raiseB
73s,fold
72s,fold
A6o,limp
K6o,limp
Q6o,limp
J6o,raiseB
T6o,raiseB
96o,raiseB
86o,raiseB
76o,limp
66,limp
65s,limp
64s,limp
63s,raiseB
62s,fold
A5o,limp
K5o,limp
Q5o,raiseB
J5o,fold
T5o,fold
95o,fold
85o,fold
75o,fold
65o,limp
55,limp
54s,limp
53s,raiseB
52s,fold
A4o,limp
K4o,limp
Q4o,raiseB
J4o,fold
T4o,fold
94o,fold
84o,fold
74o,fold
64o,fold
54o,fold
44,limp
43s,raiseB
42s,fold
A3o,limp
K3o,raiseB
Q3o,raiseB
J3o,fold
T3o,fold
93o,fold
83o,fold
73o,fold
63o,fold
53o,fold
43o,fold
33,limp
32s,limp
A2o,limp
K2o,raiseB
Q2o,raiseB
J2o,fold
T2o,fold
92o,fold
82o,fold
72o,fold
62o,fold
52o,fold
42o,fold
32o,fold
22,limp
size,2.5
